1_22FN008
Acinetobacter_pollinis_SCC477_fig|469.262.peg.582	NODE_282_length_530_cov_2.440000	94.262	488	28	0	1	488	43	530	0.0	755
Acinetobacter_pollinis_FNA11_fig|469.423.peg.1953	NODE_4490_length_274_cov_1.456621	98.175	274	5	0	755	1028	1	274	4.83e-133	472
Acinetobacter_pollinis_FNA11_fig|469.423.peg.2162	NODE_6166_length_267_cov_1.358491	99.625	267	1	0	116	382	267	1	1.23e-134	478
Acinetobacter_pollinis_FNA11_fig|469.423.peg.2616	NODE_1383_length_354_cov_1.448161	98.538	342	5	0	500	841	13	354	5.81e-170	595
1_22FN018
Acinetobacter_pollinis_FNA11_fig|469.423.peg.2397	NODE_792_length_2698_cov_19.529323	94.403	1215	68	0	1	1215	1418	2632	0.0	1885
Acinetobacter_pollinis_FNA11_fig|469.423.peg.1953	NODE_1773_length_1442_cov_2.992069	100.000	1065	0	0	1	1065	1348	284	0.0	1921
Acinetobacter_pollinis_FNA11_fig|469.423.peg.1951	NODE_6353_length_460_cov_1.844444	97.442	391	10	0	1	391	391	1	0.0	661
Acinetobacter_pollinis_FNA11_fig|469.423.peg.1951	NODE_1962_length_1318_cov_2.686461	98.966	387	4	0	826	1212	1	387	0.0	681
Acinetobacter_pollinis_SCC474_fig|469.261.peg.2129	NODE_655_length_3035_cov_4.350336	99.250	1200	9	0	1	1200	196	1395	0.0	2124
Acinetobacter_pollinis_FNA11_fig|469.423.peg.2397	NODE_1412_length_1759_cov_12.815141	77.758	1097	238	4	121	1214	1305	212	0.0	866
Acinetobacter_pollinis_FNA11_fig|469.423.peg.1951	NODE_6789_length_441_cov_1.702073	97.964	442	8	1	405	846	1	441	0.0	754
2_22FN063
Acinetobacter_pollinis_FNA11_fig|469.423.peg.2616	NODE_36502_length_262_cov_0.922705	99.618	262	1	0	422	683	262	1	2.46e-131	469
3_22FN100
Acinetobacter_nectaris_BB226_fig|469.259.peg.1516	NODE_2477_length_997_cov_2.445860	96.853	572	18	0	1	572	573	2	0.0	951
Acinetobacter_nectaris_BB226_fig|469.259.peg.1516	NODE_14766_length_317_cov_3.656489	99.369	317	2	0	747	1063	1	317	6.38e-160	563
4_FN118
Acinetobacter_pollinis_FNA11_fig|469.423.peg.1953	NODE_14572_length_454_cov_2.533835	99.339	454	3	0	524	977	1	454	0.0	806
Acinetobacter_pollinis_FNA11_fig|469.423.peg.2162	NODE_30175_length_315_cov_1.473077	97.778	315	7	0	45	359	1	315	1.37e-151	537
Acinetobacter_pollinis_FNA11_fig|469.423.peg.1953	NODE_47443_length_273_cov_0.871560	98.535	273	4	0	184	456	1	273	3.61e-133	475
Acinetobacter_pollinis_FNA11_fig|469.423.peg.1951	NODE_5958_length_772_cov_1.553696	98.187	772	14	0	413	1184	772	1	0.0	1330
4_FN128
Acinetobacter_pollinis_FNA11_fig|469.423.peg.2397	NODE_15029_length_255_cov_3.375000	99.602	251	1	0	965	1215	255	5	1.17e-125	449
Acinetobacter_pollinis_SCC474_fig|469.261.peg.2129	NODE_49_length_9724_cov_5.042507	98.917	1200	13	0	1	1200	9617	8418	0.0	2106
Acinetobacter_pollinis_FNA11_fig|469.423.peg.2397	NODE_670_length_1080_cov_5.804878	96.958	1019	31	0	1	1019	62	1080	0.0	1699
Acinetobacter_pollinis_SCC477_fig|469.262.peg.582	NODE_6223_length_324_cov_3.394052	100.000	251	0	0	950	1200	1	251	2.71e-127	453
Acinetobacter_pollinis_FNA11_fig|469.423.peg.1953	NODE_594_length_1235_cov_5.012712	98.932	1030	11	0	1	1030	206	1235	0.0	1809
Acinetobacter_pollinis_FNA11_fig|469.423.peg.1951	NODE_342_length_2412_cov_3.979635	98.020	1212	24	0	1	1212	2317	1106	0.0	2078
Acinetobacter_pollinis_SCC477_fig|469.262.peg.582	NODE_5407_length_341_cov_3.825175	96.154	286	11	0	1	286	56	341	4.29e-131	467
4_FN131
Acinetobacter_pollinis_FNA11_fig|469.423.peg.1951	NODE_54_length_2108_cov_2.633220	98.718	546	7	0	667	1212	1	546	0.0	954
Acinetobacter_pollinis_FNA11_fig|469.423.peg.2162	NODE_30776_length_269_cov_1.341121	98.885	269	3	0	390	658	269	1	2.49e-132	472
Acinetobacter_pollinis_FNA11_fig|469.423.peg.1953	NODE_1403_length_725_cov_2.916418	98.718	312	4	0	754	1065	725	414	1.27e-154	545
Acinetobacter_pollinis_SCC477_fig|469.262.peg.582	NODE_3681_length_507_cov_1.488938	98.817	507	6	0	689	1195	507	1	0.0	888
Acinetobacter_pollinis_SCC474_fig|469.261.peg.2129	NODE_4237_length_482_cov_2.459016	97.877	424	9	0	1	424	424	1	0.0	725
4_FN136
Acinetobacter_pollinis_FNA11_fig|469.423.peg.2162	NODE_26775_length_259_cov_0.941176	99.228	259	2	0	519	777	259	1	1.35e-128	459
4_FN176
Acinetobacter_nectaris_BB226_fig|469.259.peg.1516	NODE_690_length_798_cov_1.694482	97.258	547	15	0	1	547	547	1	0.0	920
